Sequence,Taxon_rank,Order,Family,Family_English_name,Scientific_name,English_name_AviList,English (United States),IUCN_Red_List_Category
284,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Plectropterus,,,
285,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Plectropterus gambensis,Spur-winged Goose,Spur-winged Goose,LC
286,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Plectropterus gambensis gambensis,,,
287,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Plectropterus gambensis niger,,,
288,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Malacorhynchus,,,
289,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Malacorhynchus membranaceus,Pink-eared Duck,Pink-eared Duck,LC
290,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Coscoroba,,,
291,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Coscoroba coscoroba,Coscoroba Swan,Coscoroba Swan,LC
292,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cereopsis,,,
293,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cereopsis novaehollandiae,Cape Barren Goose,Cape Barren Goose,LC
294,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cereopsis novaehollandiae novaehollandiae,,,
295,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cereopsis novaehollandiae grisea,,,
296,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus,,,
297,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus melancoryphus,Black-necked Swan,Black-necked Swan,LC
298,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus olor,Mute Swan,Mute Swan,LC
299,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus atratus,Black Swan,Black Swan,LC
300,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus columbianus,Tundra Swan,Tundra Swan,LC
301,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus columbianus columbianus,,,
302,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus columbianus bewickii,,,
303,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus cygnus,Whooper Swan,Whooper Swan,LC
304,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus buccinator,Trumpeter Swan,Trumpeter Swan,LC
305,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta,,,
306,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta bernicla,Brant Goose,Brant,LC
307,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta bernicla nigricans,,,
308,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta bernicla bernicla,,,
309,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta bernicla hrota,,,
310,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta ruficollis,Red-breasted Goose,Red-breasted Goose,VU
311,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta sandvicensis,Nene,Hawaiian Goose,NT
312,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta canadensis,Canada Goose,Canada Goose,LC
313,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta canadensis occidentalis,,,
314,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta canadensis fulva,,,
315,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta canadensis maxima,,,
316,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta canadensis parvipes,,,
317,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta canadensis moffitti,,,
318,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta canadensis interior,,,
319,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta canadensis canadensis,,,
320,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta leucopsis,Barnacle Goose,Barnacle Goose,LC
321,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta hutchinsii,Cackling Goose,Cackling Goose,LC
322,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta hutchinsii leucopareia,,,
323,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta hutchinsii minima,,,
324,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta hutchinsii taverneri,,,
325,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta hutchinsii hutchinsii,,,
326,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser,,,
327,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser indicus,Bar-headed Goose,Bar-headed Goose,LC
328,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser canagicus,Emperor Goose,Emperor Goose,LC
329,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser rossii,Ross's Goose,Ross's Goose,LC
330,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser caerulescens,Snow Goose,Snow Goose,LC
331,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser caerulescens caerulescens,,,
332,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser caerulescens atlanticus,,,
333,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser anser,Greylag Goose,Graylag Goose,LC
334,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser anser anser,,,
335,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser anser rubrirostris,,,
336,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser cygnoides,Swan Goose,Swan Goose,EN
337,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser erythropus,Lesser White-fronted Goose,Lesser White-fronted Goose,VU
338,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser albifrons,Greater White-fronted Goose,Greater White-fronted Goose,LC
339,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser albifrons flavirostris,,,
340,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser albifrons albifrons,,,
341,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser albifrons elgasi,,,
342,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser albifrons gambelli,,,
343,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser albifrons sponsa,,,
344,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser serrirostris,Tundra Bean Goose,Tundra Bean-Goose,NE
345,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser serrirostris rossicus,,,
346,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser serrirostris serrirostris,,,
347,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser brachyrhynchus,Pink-footed Goose,Pink-footed Goose,LC
348,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser fabalis,Taiga Bean Goose,Taiga Bean-Goose,NE
349,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser fabalis fabalis,,,
350,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser fabalis johanseni,,,
351,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser fabalis middendorffii,,,
352,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Merganetta,,,
353,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Merganetta armata,Torrent Duck,Torrent Duck,LC
354,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Merganetta armata colombiana,,,
355,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Merganetta armata leucogenis,,,
356,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Merganetta armata turneri,,,
357,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Merganetta armata garleppi,,,
358,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Merganetta armata berlepschi,,,
359,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Merganetta armata armata,,,
360,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Callonetta,,,
361,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Callonetta leucophrys,Ringed Teal,Ringed Teal,LC
362,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cairina,,,
363,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cairina moschata,Muscovy Duck,Muscovy Duck,LC
364,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aix,,,
365,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aix galericulata,Mandarin Duck,Mandarin Duck,LC
366,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aix sponsa,Wood Duck,Wood Duck,LC
367,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Neochen,,,
368,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Neochen jubata,Orinoco Goose,Orinoco Goose,LC
369,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Chloephaga,,,
370,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Chloephaga melanoptera,Andean Goose,Andean Goose,LC
371,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Chloephaga picta,Upland Goose,Upland Goose,LC
372,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Chloephaga picta picta,,,
373,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Chloephaga picta leucoptera,,,
374,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Chloephaga hybrida,Kelp Goose,Kelp Goose,LC
375,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Chloephaga hybrida hybrida,,,
376,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Chloephaga hybrida malvinarum,,,
377,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Chloephaga poliocephala,Ashy-headed Goose,Ashy-headed Goose,LC
378,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Chloephaga rubidiceps,Ruddy-headed Goose,Ruddy-headed Goose,LC
379,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Radjah,,,
380,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Radjah radjah,Radjah Shelduck,Radjah Shelduck,LC
381,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Radjah radjah radjah,,,
382,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Radjah radjah rufitergum,,,
383,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Alopochen,,,
384,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Alopochen aegyptiaca,Egyptian Goose,Egyptian Goose,LC
385,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Alopochen mauritiana,Mauritius Sheldgoose,Mauritius Shelduck,EX
386,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Alopochen kervazoi,Reunion Sheldgoose,Reunion Shelduck,EX
387,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Tadorna,,,
388,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Tadorna tadorna,Common Shelduck,Common Shelduck,LC
389,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Tadorna cristata,Crested Shelduck,Crested Shelduck,CR
390,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Tadorna cana,South African Shelduck,South African Shelduck,LC
391,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Tadorna ferruginea,Ruddy Shelduck,Ruddy Shelduck,LC
392,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Tadorna variegata,Paradise Shelduck,Paradise Shelduck,LC
393,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Tadorna tadornoides,Australian Shelduck,Australian Shelduck,LC
394,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Clangula,,,
395,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Clangula hyemalis,Long-tailed Duck,Long-tailed Duck,VU
396,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Polysticta,,,
397,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Polysticta stelleri,Steller's Eider,Steller's Eider,VU
398,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Camptorhynchus,,,
399,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Camptorhynchus labradorius,Labrador Duck,Labrador Duck,EX
400,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Somateria,,,
401,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Somateria fischeri,Spectacled Eider,Spectacled Eider,NT
402,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Somateria spectabilis,King Eider,King Eider,LC
403,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Somateria mollissima,Common Eider,Common Eider,NT
404,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Somateria mollissima v-nigrum,,,
405,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Somateria mollissima borealis,,,
406,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Somateria mollissima sedentaria,,,
407,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Somateria mollissima dresseri,,,
408,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Somateria mollissima faeroeensis,,,
409,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Somateria mollissima mollissima,,,
410,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Histrionicus,,,
411,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Histrionicus histrionicus,Harlequin Duck,Harlequin Duck,LC
412,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Melanitta,,,
413,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Melanitta nigra,Common Scoter,Common Scoter,LC
414,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Melanitta americana,Black Scoter,Black Scoter,NT
415,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Melanitta perspicillata,Surf Scoter,Surf Scoter,LC
416,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Melanitta fusca,Velvet Scoter,Velvet Scoter,VU
417,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Melanitta deglandi,White-winged Scoter,White-winged Scoter,LC
418,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Melanitta stejnegeri,Stejneger's Scoter,Stejneger's Scoter,LC
419,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Bucephala,,,
420,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Bucephala albeola,Bufflehead,Bufflehead,LC
421,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Bucephala islandica,Barrow's Goldeneye,Barrow's Goldeneye,LC
422,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Bucephala clangula,Common Goldeneye,Common Goldeneye,LC
423,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Bucephala clangula clangula,,,
424,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Bucephala clangula americana,,,
425,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Mergellus,,,
426,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Mergellus albellus,Smew,Smew,LC
427,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Lophodytes,,,
428,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Lophodytes cucullatus,Hooded Merganser,Hooded Merganser,LC
429,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Mergus,,,
430,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Mergus serrator,Red-breasted Merganser,Red-breasted Merganser,LC
431,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Mergus squamatus,Scaly-sided Merganser,Scaly-sided Merganser,EN
432,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Mergus octosetaceus,Brazilian Merganser,Brazilian Merganser,CR
433,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Mergus australis,New Zealand Merganser,Auckland Islands Merganser,EX
434,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Mergus merganser,Common Merganser,Common Merganser,LC
435,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Mergus merganser merganser,,,
436,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Mergus merganser orientalis,,,
437,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Mergus merganser americanus,,,
438,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Sarkidiornis,,,
439,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Sarkidiornis melanotos,Knob-billed Duck,Knob-billed Duck,LC
440,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Sarkidiornis sylvicola,Comb Duck,Comb Duck,LC
441,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Hymenolaimus,,,
442,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Hymenolaimus malacorhynchos,Blue Duck,Blue Duck,EN
443,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Hymenolaimus malacorhynchos malacorhynchos,,,
444,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Hymenolaimus malacorhynchos hymenolaimus,,,
445,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Chenonetta,,,
446,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Chenonetta jubata,Maned Duck,Maned Duck,LC
447,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cyanochen,,,
448,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cyanochen cyanoptera,Blue-winged Goose,Blue-winged Goose,NT
449,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Pteronetta,,,
450,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Pteronetta hartlaubii,Hartlaub's Duck,Hartlaub's Duck,LC
451,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Marmaronetta,,,
452,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Marmaronetta angustirostris,Marbled Duck,Marbled Duck,NT
453,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Asarcornis,,,
454,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Asarcornis scutulata,White-winged Duck,White-winged Duck,CR
455,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Rhodonessa,,,
456,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Rhodonessa caryophyllacea,Pink-headed Duck,Pink-headed Duck,CR
457,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Netta,,,
458,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Netta rufina,Red-crested Pochard,Red-crested Pochard,LC
459,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Netta erythrophthalma,Southern Pochard,Southern Pochard,LC
460,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Netta erythrophthalma brunnea,,,
461,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Netta erythrophthalma erythrophthalma,,,
462,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Netta peposaca,Rosy-billed Pochard,Rosy-billed Pochard,LC
463,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aythya,,,
464,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aythya nyroca,Ferruginous Duck,Ferruginous Duck,NT
465,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aythya innotata,Madagascar Pochard,Madagascar Pochard,CR
466,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aythya baeri,Baer's Pochard,Baer's Pochard,CR
467,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aythya australis,Hardhead,Hardhead,LC
468,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aythya ferina,Common Pochard,Common Pochard,VU
469,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aythya valisineria,Canvasback,Canvasback,LC
470,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aythya collaris,Ring-necked Duck,Ring-necked Duck,LC
471,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aythya americana,Redhead,Redhead,LC
472,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aythya fuligula,Tufted Duck,Tufted Duck,LC
473,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aythya novaeseelandiae,New Zealand Scaup,New Zealand Scaup,LC
474,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aythya affinis,Lesser Scaup,Lesser Scaup,LC
475,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aythya marila,Greater Scaup,Greater Scaup,LC
476,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aythya marila marila,,,
477,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aythya marila nearctica,,,
478,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Salvadorina,,,
479,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Salvadorina waigiuensis,Salvadori's Teal,Salvadori's Teal,LC
480,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Lophonetta,,,
481,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Lophonetta specularioides,Crested Duck,Crested Duck,LC
482,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Lophonetta specularioides alticola,,,
483,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Lophonetta specularioides specularioides,,,
484,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Speculanas,,,
485,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Speculanas specularis,Bronze-winged Duck,Spectacled Duck,NT
486,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Amazonetta,,,
487,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Amazonetta brasiliensis,Brazilian Teal,Brazilian Teal,LC
488,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Amazonetta brasiliensis brasiliensis,,,
489,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Amazonetta brasiliensis ipecutiri,,,
490,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Tachyeres,,,
491,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Tachyeres patachonicus,Flying Steamer Duck,Flying Steamer-Duck,LC
492,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Tachyeres pteneres,Fuegian Steamer Duck,Flightless Steamer-Duck,LC
